	author_id	username	author_followers	author_tweets	author_description	author_location	text	created_at	retweets	replies	likes	quote_count
1277	407411818	akaPublius1787	133	2273			@BostonCoreGhost @SirTheOptimist Remember that little ol impeachment thing in regards to Ukraine? https://t.co/MGR6YMDWSB	2021-01-20 20:20:26+00:00	1	0	5	0
1278	14106476	KyivPost	383404	64992	The award-winning Kyiv Post is the top international source of English-language news about Ukraine since 1995.	#Kyiv, #Ukraine	After a strained relationship with Trump’s administration, #Ukraine now expects a significantly brighter future with #Biden, but only if Kyiv takes a proactive approach at fighting its own battles. https://t.co/nkpo5eDPxs	2021-01-20 20:20:19+00:00	8	1	22	0
1279	166530562	EINRussiaNews	2829	178385	EIN Presswire is Everyone's Internet News Presswire™. We make issuing and distributing press releases easy and affordable.	Washington, D.C.	#Russia's decision to transfer Ukrainians held in ORDLO to Medvedchuk is blow to Normandy format, TCG – #Ukraine MFA https://t.co/lw25BC2lNh	2021-01-20 20:20:18+00:00	0	0	0	0
1280	1276190084098859011	subjectio_relay	21	129871	#subjectio exposes the working of propaganda and geopolitical reality in 🇺🇦 🇲🇩 🇧🇾  🇧🇦 🇲🇪 🇲🇰 🇽🇰  🇷🇸		"@AFPespanol Subjectio’s video-interviews give a voice to local actors in Belarus, Ukraine, Transnistria, North-Macedonia, Kosovo, Montenegro, Bosnia and Herzegovina:

https://t.co/2iUiNIhymg

@subjectio2020 #subjectio https://t.co/XkhLp74iIi"	2021-01-20 20:20:18+00:00	0	0	0	0
1281	30327340	tylerperry_fp	53	1059	For drama and more drama stop here.	California, USA	"@mtgreenee Such lies 

https://t.co/cdsMqcKIIV"	2021-01-20 20:20:02+00:00	0	0	0	0
1282	1336663046958297090	joobajobajimjim	1	498			"@ilyseh Not my president!
China!
Russia!
Impeach!
Ukraine!
No wait Russia Again
Impeach!

- dignity and class"	2021-01-20 20:19:41+00:00	0	0	0	0
1283	1241852200390922240	ConnellAmyk	88	12246	I care & I’m a catalyst for change		Used to be, now it’s China &amp; Ukraine https://t.co/fNuejoBMUJ	2021-01-20 20:19:22+00:00	0	0	0	0
1284	1276190084098859011	subjectio_relay	21	129871	#subjectio exposes the working of propaganda and geopolitical reality in 🇺🇦 🇲🇩 🇧🇾  🇧🇦 🇲🇪 🇲🇰 🇽🇰  🇷🇸		"@latimes Subjectio’s video-interviews give a voice to local actors in Belarus, Ukraine, Transnistria, North-Macedonia, Kosovo, Montenegro, Bosnia and Herzegovina:

https://t.co/2iUiNIhymg

@subjectio2020 #subjectio https://t.co/Lb5yloq0LL"	2021-01-20 20:19:05+00:00	0	0	0	0
1285	1018223258083184641	StefanB94551270	283	10319	Ur-Berliner, auch Radler, Vereinsmeierer, Knipser, Schreiber, Umherreisender	Berlin	"@kgb_files 99,95 Euro???
Regular prospective buyers won't buy the book.
Thanks for the tip to this book.
https://t.co/6c7aJgBlx7"	2021-01-20 20:19:01+00:00	0	0	0	0
1286	1312119563081842688	ShirleysPride	909	49446	JFK Liberal . Biden/ Harris 2020		"@Shenanigan1111 @Wayne_Unknown @RepSwalwell Under the Obama Administration, the EU and other World Leaders was sent to Ukraine to tell the President to fire a prosecutor who REFUSED to investigate corruption!
Where’s the lie Jelly ?"	2021-01-20 20:18:54+00:00	0	1	2	0
1287	19314911	BBHerbert	30	433			@Lavendargirl47 @slaminjection @dinolde @laurenboebert Also, for his blackmail and dirty dealings in Ukraine!! Shall we name them all??	2021-01-20 20:18:53+00:00	0	0	0	0
1288	1043961174872612864	mamabass11	383	12930	just another day in paradise. what the hell happened to the world? It has gone crazy.	Communist Dictatorship Canada	@CanariesBlue Lol jokes on Biden if he goes. He is wanted on corruption charges in Ukraine.	2021-01-20 20:18:29+00:00	0	0	1	0
